CompID,RespoID,AVC,IV,StartDate,Category,TypeOfService,Rating
13,32,"$41,695.92 ","$9,248.62 ",2017-08-31,Silver,On-premises,5
14,18,"$59,898.62 ","$5,638.22 ",2015-11-19,Silver,On-premises,5
17,36,"$45,044.11 ","$8,159.86 ",2017-09-07,Premium,Cloud,2
10,3,"$32,425.06 ","$6,000.95 ",2016-05-28,Premium,On-premises,4
8,26,"$49,546.20 ","$5,445.78 ",2016-07-17,Premium,On-premises,1
9,4,"$66,794.97 ","$10,394.17 ",2016-01-11,Diamond,Cloud,5
20,33,"$91,657.56 ","$8,603.71 ",2017-11-09,Gold,On-premises,5
12,23,"$85,066.55 ","$10,606.05 ",2016-04-21,Silver,On-premises,2
15,4,"$52,349.44 ","$11,655.67 ",2017-11-12,Premium,On-premises,2
19,16,"$101,792.71 ","$10,704.01 ",2018-02-10,Premium,On-premises,2
9,10,"$115,286.45 ","$8,539.65 ",2016-02-17,Premium,Cloud,2
16,30,"$66,645.15 ","$5,382.72 ",2015-03-28,Gold,Cloud,4
6,44,"$107,775.08 ","$7,838.89 ",2015-07-25,Diamond,On-premises,5
8,14,"$102,194.11 ","$7,662.13 ",2016-09-12,Premium,On-premises,4
14,26,"$117,201.28 ","$6,510.78 ",2017-08-30,Premium,On-premises,4
17,32,"$49,170.69 ","$8,906.29 ",2016-10-07,Silver,On-premises,3
17,5,"$78,852.51 ","$7,934.22 ",2016-06-13,Silver,Cloud,5
16,29,"$94,866.96 ","$8,255.76 ",2016-05-28,Gold,On-premises,2
3,10,"$73,340.14 ","$10,707.42 ",2015-12-07,Premium,Cloud,4
16,8,"$62,109.67 ","$11,881.44 ",2017-05-07,Diamond,On-premises,5
7,32,"$115,315.98 ","$10,122.61 ",2016-09-27,Gold,Cloud,1
15,53,"$104,186.39 ","$10,919.10 ",2015-05-21,Silver,On-premises,5
2,38,"$66,079.48 ","$7,462.08 ",2015-03-14,Premium,On-premises,5
15,21,"$101,065.93 ","$5,788.18 ",2017-08-28,Diamond,Cloud,1
7,32,"$51,023.67 ","$10,473.42 ",2018-03-31,Diamond,On-premises,4
20,41,"$100,925.55 ","$9,851.09 ",2017-02-27,Premium,On-premises,1
9,23,"$87,335.69 ","$5,283.72 ",2017-02-10,Diamond,On-premises,2
20,8,"$77,122.40 ","$10,803.02 ",2017-08-30,Silver,Cloud,4
15,9,"$32,511.33 ","$5,872.63 ",2016-02-03,Gold,Cloud,5
8,13,"$109,067.82 ","$7,048.69 ",2016-07-09,Gold,On-premises,3
9,14,"$39,311.70 ","$5,597.76 ",2016-03-22,Diamond,Cloud,5
12,7,"$33,238.20 ","$7,646.85 ",2017-06-29,Gold,Cloud,2
7,12,"$48,063.33 ","$6,267.57 ",2015-05-08,Diamond,On-premises,4
18,11,"$110,970.95 ","$10,336.76 ",2016-06-29,Premium,Cloud,5
8,58,"$112,457.36 ","$6,154.54 ",2018-06-06,Diamond,On-premises,3
2,10,"$119,546.68 ","$6,253.27 ",2016-08-18,Gold,On-premises,1
20,17,"$99,940.63 ","$9,882.15 ",2016-04-29,Silver,On-premises,1
2,35,"$110,178.16 ","$11,316.88 ",2015-05-04,Gold,Cloud,1
12,48,"$104,326.92 ","$6,074.23 ",2018-06-11,Gold,Cloud,4
14,2,"$103,381.01 ","$6,847.48 ",2018-05-08,Gold,On-premises,5
13,50,"$65,491.53 ","$8,570.26 ",2018-01-24,Gold,On-premises,5
11,42,"$110,058.59 ","$6,584.26 ",2018-04-18,Premium,Cloud,2
8,1,"$109,696.69 ","$11,187.84 ",2015-02-17,Silver,On-premises,3
8,3,"$108,319.05 ","$7,800.47 ",2015-07-06,Premium,On-premises,5
15,19,"$83,758.02 ","$9,512.24 ",2016-08-16,Premium,On-premises,2
20,26,"$46,707.11 ","$9,177.97 ",2016-10-25,Silver,On-premises,5
11,39,"$75,195.25 ","$7,079.99 ",2016-06-02,Diamond,Cloud,3
16,50,"$62,117.20 ","$11,123.30 ",2017-05-28,Diamond,On-premises,2
20,59,"$72,970.26 ","$5,662.42 ",2017-11-30,Silver,On-premises,3
15,53,"$77,181.98 ","$9,651.01 ",2015-05-02,Premium,Cloud,1
19,56,"$42,575.44 ","$7,079.75 ",2018-03-13,Gold,Cloud,5
13,26,"$39,365.35 ","$5,978.21 ",2016-10-20,Gold,On-premises,3
13,12,"$101,873.18 ","$7,178.79 ",2017-09-11,Premium,Cloud,4
2,7,"$76,122.51 ","$5,212.44 ",2017-08-09,Premium,On-premises,1
19,11,"$34,567.09 ","$10,433.00 ",2015-12-10,Diamond,On-premises,4
12,57,"$71,973.67 ","$8,577.57 ",2017-04-16,Premium,Cloud,4
9,41,"$118,438.81 ","$9,106.43 ",2018-07-07,Diamond,Cloud,2
1,58,"$107,772.63 ","$6,791.72 ",2018-07-08,Gold,Cloud,4
7,4,"$46,294.42 ","$10,417.48 ",2016-10-10,Diamond,Cloud,3
20,18,"$83,541.52 ","$6,142.14 ",2016-04-14,Silver,Cloud,5
12,39,"$113,553.10 ","$7,972.08 ",2016-03-08,Diamond,Cloud,3
10,16,"$43,595.38 ","$7,368.97 ",2015-12-02,Diamond,On-premises,3
4,1,"$33,235.19 ","$10,502.37 ",2016-11-03,Diamond,Cloud,2
5,54,"$52,613.57 ","$10,728.81 ",2018-04-23,Diamond,Cloud,4
1,50,"$110,529.28 ","$6,235.49 ",2016-11-01,Gold,Cloud,2
9,51,"$90,163.78 ","$10,203.16 ",2018-04-02,Premium,Cloud,2
13,37,"$49,015.47 ","$10,070.87 ",2017-07-23,Silver,Cloud,3
14,40,"$32,213.18 ","$7,285.55 ",2017-04-28,Gold,On-premises,1
7,24,"$58,496.24 ","$5,859.07 ",2015-01-22,Diamond,On-premises,2
5,32,"$33,605.16 ","$9,259.51 ",2015-09-20,Silver,On-premises,3
6,40,"$75,921.81 ","$10,053.96 ",2018-06-28,Silver,On-premises,2
1,39,"$90,365.04 ","$7,180.76 ",2017-03-22,Silver,On-premises,1
18,9,"$99,857.02 ","$10,285.02 ",2016-03-13,Premium,On-premises,1
1,12,"$47,795.06 ","$6,317.29 ",2018-07-31,Silver,On-premises,1
17,8,"$70,498.61 ","$6,915.58 ",2015-10-31,Premium,On-premises,2
8,10,"$54,789.75 ","$8,707.87 ",2015-08-24,Premium,Cloud,4
7,15,"$113,358.50 ","$8,757.81 ",2017-09-12,Silver,Cloud,1
16,31,"$43,571.82 ","$6,318.36 ",2017-01-25,Diamond,On-premises,1
17,27,"$45,884.78 ","$7,144.83 ",2015-12-29,Diamond,On-premises,4
17,29,"$95,899.10 ","$11,454.06 ",2015-05-04,Diamond,On-premises,4
12,28,"$59,062.57 ","$10,232.96 ",2018-01-05,Gold,On-premises,4
1,51,"$110,299.90 ","$8,717.57 ",2015-11-08,Gold,On-premises,1
10,22,"$82,481.95 ","$8,203.81 ",2016-12-06,Gold,On-premises,2
16,52,"$71,237.99 ","$11,446.57 ",2017-10-03,Premium,Cloud,4
5,1,"$107,781.95 ","$7,532.63 ",2017-10-18,Diamond,On-premises,2
17,27,"$48,466.65 ","$6,849.26 ",2016-09-27,Gold,Cloud,3
4,56,"$56,376.64 ","$8,687.27 ",2018-07-21,Gold,On-premises,5
3,23,"$31,764.02 ","$10,997.93 ",2017-12-28,Premium,Cloud,4
10,37,"$90,469.95 ","$10,999.37 ",2017-05-24,Gold,On-premises,1
17,3,"$34,292.00 ","$11,355.18 ",2016-06-27,Silver,On-premises,3
19,57,"$38,365.70 ","$6,249.07 ",2018-07-20,Premium,Cloud,5
10,51,"$40,674.25 ","$5,739.85 ",2017-05-10,Diamond,On-premises,1
11,53,"$107,528.63 ","$10,029.09 ",2017-09-28,Diamond,Cloud,4
16,20,"$66,221.20 ","$6,320.65 ",2015-08-31,Diamond,Cloud,5
2,58,"$44,875.08 ","$11,527.25 ",2017-10-25,Diamond,On-premises,1
1,56,"$52,745.32 ","$10,631.88 ",2016-04-06,Gold,Cloud,4
5,56,"$94,256.57 ","$8,048.23 ",2016-12-05,Gold,Cloud,3
16,28,"$108,697.74 ","$9,936.30 ",2015-12-25,Premium,On-premises,2
14,16,"$89,679.19 ","$11,212.77 ",2015-02-06,Gold,Cloud,3
2,22,"$90,499.35 ","$6,699.99 ",2015-09-16,Silver,On-premises,2
3,28,"$36,891.99 ","$6,160.81 ",2016-03-17,Diamond,Cloud,1
14,48,"$30,173.84 ","$5,990.53 ",2015-08-01,Premium,Cloud,2
12,60,"$45,680.54 ","$6,846.81 ",2016-04-23,Premium,On-premises,4
2,6,"$74,021.20 ","$7,629.46 ",2018-06-06,Premium,On-premises,4
15,4,"$112,490.05 ","$5,949.52 ",2016-04-17,Silver,Cloud,3
7,52,"$76,774.38 ","$10,359.10 ",2018-03-04,Diamond,On-premises,4
7,24,"$119,907.86 ","$9,166.54 ",2016-10-15,Gold,Cloud,3
13,39,"$61,899.79 ","$10,685.94 ",2015-09-17,Silver,Cloud,4
18,33,"$49,473.51 ","$8,092.29 ",2015-03-23,Gold,On-premises,3
5,3,"$63,914.82 ","$7,473.73 ",2015-05-23,Gold,Cloud,3
8,31,"$49,216.23 ","$9,644.51 ",2017-07-08,Diamond,On-premises,5
19,16,"$83,000.22 ","$8,487.93 ",2015-02-03,Diamond,On-premises,2
16,18,"$101,040.78 ","$10,109.37 ",2016-05-24,Gold,On-premises,5
11,45,"$57,487.19 ","$5,570.91 ",2016-02-06,Silver,On-premises,4
6,16,"$41,587.70 ","$8,748.81 ",2016-06-25,Silver,Cloud,5
17,28,"$72,121.94 ","$9,858.80 ",2016-12-08,Gold,On-premises,4
2,8,"$101,137.98 ","$7,838.21 ",2017-07-27,Gold,On-premises,1
15,1,"$69,688.08 ","$6,537.33 ",2017-07-08,Gold,On-premises,5
1,52,"$81,629.65 ","$8,811.96 ",2017-01-23,Gold,On-premises,1
18,35,"$63,421.38 ","$6,530.37 ",2015-12-23,Gold,Cloud,5
4,20,"$95,346.53 ","$7,450.17 ",2017-12-27,Gold,Cloud,4
3,52,"$55,977.17 ","$6,011.82 ",2017-04-03,Premium,Cloud,3
3,5,"$97,176.45 ","$6,176.71 ",2015-02-27,Silver,Cloud,2
8,3,"$89,150.84 ","$10,997.19 ",2016-02-14,Silver,On-premises,2
5,45,"$106,730.57 ","$5,485.14 ",2017-03-31,Diamond,Cloud,2
8,29,"$88,089.81 ","$11,705.21 ",2016-12-25,Premium,Cloud,3
16,21,"$67,234.93 ","$9,632.83 ",2015-02-18,Premium,Cloud,5
12,8,"$60,445.13 ","$5,694.00 ",2016-09-23,Silver,Cloud,3
19,48,"$35,295.96 ","$9,216.67 ",2017-05-27,Premium,Cloud,1
3,34,"$81,160.04 ","$5,368.61 ",2015-11-11,Gold,Cloud,5
6,40,"$40,550.65 ","$8,749.88 ",2017-11-06,Gold,On-premises,4
1,59,"$42,464.64 ","$6,713.85 ",2017-09-15,Premium,On-premises,3
20,26,"$44,882.59 ","$9,782.84 ",2017-09-07,Gold,Cloud,4
20,60,"$51,025.59 ","$10,257.37 ",2015-09-13,Silver,Cloud,3
14,30,"$57,187.69 ","$10,424.17 ",2017-05-22,Gold,On-premises,5
18,55,"$43,452.65 ","$9,978.13 ",2016-05-14,Diamond,On-premises,2
10,58,"$53,520.34 ","$11,726.84 ",2018-05-19,Silver,Cloud,3
12,26,"$103,883.71 ","$6,907.83 ",2015-06-04,Diamond,On-premises,1
18,14,"$69,476.85 ","$10,488.08 ",2015-08-17,Diamond,On-premises,1
4,5,"$117,786.22 ","$10,548.42 ",2016-03-27,Diamond,On-premises,5
12,28,"$69,676.23 ","$11,709.51 ",2018-06-03,Gold,Cloud,5
18,6,"$58,276.77 ","$5,742.52 ",2018-05-05,Premium,Cloud,5
11,35,"$54,102.58 ","$9,938.94 ",2015-09-03,Diamond,On-premises,3
5,25,"$97,687.86 ","$11,152.42 ",2015-03-19,Premium,On-premises,3
9,42,"$115,533.69 ","$9,849.32 ",2016-04-06,Silver,On-premises,4
5,11,"$85,043.66 ","$8,327.29 ",2017-06-06,Premium,Cloud,2
16,21,"$43,303.73 ","$11,291.93 ",2016-09-27,Diamond,On-premises,2
10,30,"$117,518.48 ","$7,095.44 ",2017-01-17,Premium,On-premises,5
13,21,"$37,083.07 ","$11,100.88 ",2018-03-09,Diamond,Cloud,3
14,51,"$43,319.84 ","$6,634.62 ",2018-03-08,Premium,Cloud,4
19,16,"$74,338.67 ","$8,988.90 ",2015-10-08,Premium,On-premises,3
2,44,"$49,602.57 ","$9,465.59 ",2018-06-24,Premium,Cloud,4
12,33,"$117,851.16 ","$9,508.95 ",2017-11-07,Silver,Cloud,1
7,55,"$54,518.36 ","$8,619.62 ",2017-06-20,Premium,Cloud,4
4,20,"$93,294.85 ","$5,572.91 ",2016-08-03,Silver,Cloud,5
3,26,"$89,727.78 ","$5,638.36 ",2017-06-25,Diamond,Cloud,2
17,44,"$109,443.85 ","$11,919.64 ",2015-06-02,Gold,Cloud,3
20,12,"$92,599.88 ","$9,193.26 ",2016-03-27,Silver,Cloud,2
17,48,"$33,031.12 ","$7,588.55 ",2016-04-20,Gold,Cloud,2
7,24,"$39,254.90 ","$8,563.98 ",2015-03-08,Silver,Cloud,5
5,7,"$81,247.02 ","$8,708.11 ",2017-06-12,Premium,Cloud,1
16,59,"$76,716.86 ","$10,501.26 ",2016-04-24,Premium,Cloud,1
14,42,"$80,382.81 ","$8,949.74 ",2017-10-16,Gold,Cloud,1
7,25,"$64,949.84 ","$9,779.15 ",2017-10-18,Gold,Cloud,2
1,39,"$106,972.40 ","$9,363.05 ",2018-07-16,Diamond,Cloud,2
13,3,"$89,850.51 ","$6,874.75 ",2015-01-11,Silver,On-premises,4
5,47,"$50,711.24 ","$11,603.24 ",2018-05-17,Silver,Cloud,4
1,16,"$98,238.60 ","$8,879.49 ",2016-08-10,Premium,Cloud,3
12,19,"$55,404.29 ","$7,879.95 ",2018-01-16,Silver,Cloud,4
10,51,"$69,802.44 ","$8,197.03 ",2015-01-05,Silver,On-premises,3
3,7,"$58,956.21 ","$8,175.00 ",2017-05-23,Premium,Cloud,5
9,55,"$86,819.50 ","$5,642.27 ",2016-02-17,Diamond,On-premises,1
11,1,"$32,269.01 ","$10,462.30 ",2015-12-13,Premium,Cloud,4
12,20,"$76,624.74 ","$11,684.83 ",2018-04-21,Silver,On-premises,1
4,60,"$50,074.65 ","$10,717.68 ",2016-11-07,Premium,Cloud,3
5,38,"$112,981.34 ","$8,576.32 ",2016-12-28,Diamond,On-premises,1
5,60,"$50,422.31 ","$8,910.30 ",2016-08-07,Diamond,On-premises,3
17,56,"$104,303.21 ","$7,343.25 ",2015-04-18,Diamond,On-premises,4
1,51,"$105,729.40 ","$5,303.54 ",2015-03-30,Gold,On-premises,5
13,7,"$67,421.49 ","$7,701.81 ",2017-05-03,Diamond,Cloud,2
2,58,"$100,915.72 ","$8,328.48 ",2016-06-01,Diamond,Cloud,1
14,36,"$35,019.36 ","$10,422.63 ",2018-05-26,Premium,On-premises,1
12,14,"$55,568.31 ","$8,577.75 ",2018-02-17,Premium,On-premises,5
15,54,"$64,670.34 ","$9,444.05 ",2017-05-20,Diamond,Cloud,5
16,13,"$111,573.02 ","$10,542.88 ",2017-04-20,Diamond,On-premises,2
20,59,"$47,008.32 ","$8,865.77 ",2017-05-13,Diamond,On-premises,3
8,8,"$59,967.65 ","$11,416.16 ",2017-09-20,Silver,Cloud,4
3,40,"$43,374.44 ","$7,349.62 ",2015-10-16,Diamond,Cloud,4
12,37,"$31,199.35 ","$9,969.48 ",2015-05-10,Silver,Cloud,4
10,33,"$63,986.12 ","$9,641.41 ",2016-05-08,Silver,On-premises,4
4,56,"$36,016.45 ","$5,421.90 ",2016-09-25,Diamond,Cloud,5
6,47,"$58,621.59 ","$9,007.24 ",2016-03-28,Diamond,Cloud,3
10,56,"$61,013.99 ","$7,677.27 ",2015-07-04,Silver,Cloud,2
11,12,"$53,638.01 ","$11,347.43 ",2016-07-30,Premium,Cloud,1
16,59,"$108,292.94 ","$9,358.94 ",2018-06-09,Silver,Cloud,2
10,4,"$111,168.99 ","$9,739.44 ",2017-05-04,Silver,Cloud,1
13,52,"$40,143.59 ","$6,975.02 ",2016-03-20,Diamond,Cloud,2
2,19,"$75,768.97 ","$7,273.19 ",2018-01-17,Silver,Cloud,3
10,24,"$118,578.63 ","$11,268.47 ",2016-01-15,Gold,Cloud,2
13,33,"$32,585.60 ","$10,947.35 ",2017-03-14,Diamond,On-premises,4
1,23,"$106,136.32 ","$5,534.45 ",2018-05-12,Gold,On-premises,1
7,11,"$92,214.76 ","$8,748.91 ",2016-11-07,Gold,On-premises,3
5,44,"$42,363.66 ","$8,676.83 ",2016-09-03,Premium,Cloud,2
6,14,"$50,025.96 ","$7,339.98 ",2015-08-17,Gold,On-premises,4
7,49,"$92,370.75 ","$10,761.38 ",2015-01-30,Diamond,On-premises,4
8,2,"$58,012.73 ","$6,867.28 ",2017-07-03,Premium,On-premises,3
3,1,"$105,069.80 ","$11,601.08 ",2018-04-14,Diamond,On-premises,4
11,49,"$93,464.93 ","$11,456.65 ",2018-05-22,Premium,On-premises,5
16,44,"$69,945.39 ","$11,861.73 ",2017-10-28,Premium,Cloud,4
2,9,"$96,483.94 ","$6,046.95 ",2016-04-03,Silver,Cloud,3
9,58,"$73,315.88 ","$9,574.80 ",2017-12-13,Gold,Cloud,4
14,30,"$114,421.44 ","$7,263.82 ",2015-12-23,Silver,Cloud,3
6,55,"$78,669.12 ","$9,079.35 ",2016-07-02,Premium,On-premises,1
1,30,"$96,902.00 ","$8,277.46 ",2018-06-25,Gold,Cloud,1
10,13,"$50,567.61 ","$7,337.41 ",2016-07-24,Silver,Cloud,1
10,16,"$77,706.55 ","$8,457.94 ",2016-07-22,Diamond,Cloud,2
16,4,"$68,982.12 ","$8,504.59 ",2016-03-09,Gold,On-premises,2
2,20,"$76,371.62 ","$6,792.33 ",2017-10-23,Premium,Cloud,5
9,46,"$83,072.14 ","$8,537.33 ",2017-12-29,Diamond,Cloud,1
10,35,"$31,311.60 ","$5,114.68 ",2015-12-02,Gold,Cloud,5
17,9,"$80,807.98 ","$5,860.49 ",2018-05-24,Gold,Cloud,5
9,40,"$110,646.47 ","$9,428.77 ",2018-02-06,Silver,On-premises,3
3,29,"$56,786.00 ","$8,302.89 ",2015-10-15,Silver,On-premises,1
20,17,"$37,983.69 ","$6,198.49 ",2017-01-24,Silver,On-premises,2
16,21,"$81,609.12 ","$6,053.07 ",2015-04-08,Gold,Cloud,5
15,30,"$80,996.56 ","$11,381.09 ",2015-06-10,Diamond,Cloud,4
10,5,"$56,121.65 ","$8,313.74 ",2015-02-03,Silver,On-premises,3
2,59,"$107,121.73 ","$9,476.71 ",2015-09-14,Gold,Cloud,4
11,37,"$52,717.43 ","$8,867.62 ",2016-07-13,Silver,Cloud,5
15,13,"$119,434.20 ","$9,498.14 ",2017-12-08,Silver,Cloud,3
11,20,"$85,663.17 ","$6,162.91 ",2018-05-07,Gold,Cloud,4
8,30,"$83,589.93 ","$9,800.92 ",2015-04-10,Gold,Cloud,2
18,11,"$56,425.82 ","$5,700.11 ",2017-12-23,Silver,Cloud,1
12,59,"$72,345.57 ","$5,237.94 ",2016-11-07,Silver,On-premises,2
9,5,"$76,989.65 ","$9,027.18 ",2017-08-04,Diamond,Cloud,4
1,18,"$60,303.85 ","$10,011.55 ",2017-04-30,Diamond,On-premises,2
8,16,"$107,713.12 ","$9,004.96 ",2017-01-16,Silver,Cloud,5
13,34,"$46,145.48 ","$11,905.23 ",2015-08-17,Gold,On-premises,3
13,50,"$105,021.07 ","$7,886.30 ",2018-03-30,Gold,On-premises,1
15,50,"$80,448.50 ","$6,745.63 ",2018-02-16,Premium,On-premises,2
10,37,"$53,251.90 ","$9,136.06 ",2015-12-16,Gold,Cloud,2
5,50,"$102,542.98 ","$5,356.44 ",2017-05-22,Gold,Cloud,5
19,7,"$115,046.67 ","$7,629.95 ",2018-01-06,Premium,On-premises,5
14,9,"$73,046.85 ","$6,720.65 ",2018-06-30,Diamond,Cloud,3
3,37,"$103,348.21 ","$10,906.23 ",2017-05-23,Silver,On-premises,3
16,51,"$91,016.37 ","$11,016.91 ",2015-03-17,Silver,On-premises,4
9,1,"$35,330.65 ","$6,690.14 ",2016-12-01,Silver,On-premises,4
15,1,"$117,459.86 ","$8,666.36 ",2015-11-25,Diamond,Cloud,4
2,34,"$65,639.64 ","$5,867.50 ",2016-01-02,Gold,On-premises,1
7,22,"$72,525.19 ","$6,421.10 ",2017-10-26,Gold,On-premises,3
1,43,"$52,936.24 ","$9,666.39 ",2017-12-28,Premium,Cloud,1
19,5,"$85,950.40 ","$5,830.84 ",2017-04-19,Silver,On-premises,3
1,12,"$115,692.83 ","$7,297.66 ",2016-03-04,Gold,Cloud,5
5,31,"$85,547.89 ","$8,454.52 ",2015-10-05,Silver,Cloud,3
13,36,"$106,219.28 ","$10,344.24 ",2017-05-09,Diamond,Cloud,3
18,20,"$58,451.43 ","$7,332.87 ",2016-06-23,Premium,On-premises,1
10,43,"$47,144.11 ","$7,141.94 ",2017-02-26,Silver,On-premises,5
8,19,"$87,179.18 ","$9,395.66 ",2017-04-23,Gold,On-premises,1
7,52,"$103,471.90 ","$11,147.12 ",2016-03-30,Gold,On-premises,4
17,8,"$117,395.14 ","$11,997.77 ",2017-12-24,Silver,On-premises,5
10,13,"$70,345.65 ","$7,761.09 ",2016-06-01,Premium,Cloud,2
6,59,"$97,735.58 ","$11,722.69 ",2017-03-02,Silver,On-premises,5
2,2,"$74,552.51 ","$9,041.88 ",2016-04-21,Silver,On-premises,1
7,44,"$45,648.53 ","$9,638.18 ",2016-09-16,Gold,Cloud,4
3,57,"$100,367.71 ","$8,906.83 ",2016-01-24,Gold,On-premises,5
5,4,"$54,243.55 ","$7,448.88 ",2015-05-01,Silver,On-premises,1
11,47,"$93,476.83 ","$6,252.76 ",2017-02-26,Silver,On-premises,5
3,48,"$103,796.23 ","$5,939.67 ",2016-06-12,Silver,Cloud,4
15,34,"$50,547.69 ","$11,846.75 ",2015-02-26,Gold,Cloud,4
18,11,"$107,975.73 ","$7,418.97 ",2017-05-06,Diamond,Cloud,2
3,22,"$89,376.70 ","$9,925.02 ",2018-01-16,Gold,On-premises,1
6,14,"$61,462.14 ","$11,143.37 ",2017-01-13,Gold,Cloud,4
13,42,"$114,098.61 ","$6,418.85 ",2015-08-15,Silver,Cloud,2
3,54,"$61,363.22 ","$10,200.37 ",2016-01-16,Silver,On-premises,2
